keys,tr,en
BUILDING_RAIN_CALLER,Yağmur Çağırıcı,Rain Caller
BUILDING_RAIN_CALLER_DESC,"Menzilindeki her şeye geniş ve yumuşak bir nem.","Wide, gentle moisture over everything in reach."
BUILDING_RECLAIM_SILO,Geri Kazanım Silosu,Reclaim Silo
BUILDING_RECLAIM_SILO_DESC,"Menzilindeki her yapıyı söker ve parçalarını depolar.","Dismantles every structure in reach and stores the parts."
BUILDING_AIRSHIP,Hava Gemisi,Airship
BUILDING_AIRSHIP_DESC,"Çıkış yolun. Ancak her yapı gittiğinde havalanabilir.","Your way out. It can only lift once every structure is gone."
SPECIES_FROG,Kurbağa,Frog
SPECIES_FROG_DESC,"Geri dönen ilk canlı. Etrafında biraz yeşil olan sığ su ister.","The first thing to return. Wants shallow water with something green around it."
SPECIES_DEER,Geyik,Deer
SPECIES_DEER_DESC,"Açık çayır ister, hem de bolca.","Needs open meadow, and a lot of it."
SPECIES_HERON,Balıkçıl,Heron
SPECIES_HERON_DESC,"Durgun suyun sazlıkla buluştuğu kıyıda avlanır.","Stalks the edge where standing water meets reed."
SPECIES_BEAVER,Kunduz,Beaver
SPECIES_BEAVER_DESC,"Kıyısında ağaç olan akarsu ister.","Wants running water with timber standing beside it."
SPECIES_FOX,Tilki,Fox
SPECIES_FOX_DESC,"Çayırla orman sınırında yaşar. Geyiğin peşinden gelir.","Lives on the seam between meadow and treeline. Follows the deer."
SPECIES_SONGBIRD,Ötücü Kuş,Songbird
SPECIES_SONGBIRD_DESC,"Yalnızca derin orman, ve yalnızca makineler sustuktan sonra.","Deep forest only, and only once the machines have gone quiet."
SPECIES_TORTOISE,Kaplumbağa,Tortoise
SPECIES_TORTOISE_DESC,"Suyun kıyısına yakın, ılık kum.","Warm sand, close to the water's edge."
SPECIES_BUTTERFLIES,Kelebekler,Butterflies
SPECIES_BUTTERFLIES_DESC,"Çiçek açmış, kuru ve sıcak çalılık.","Dry warm scrub in bloom."
SPECIES_OTTER,Su Samuru,Otter
SPECIES_OTTER_DESC,"Kıyısı örtülü temiz su.","Clean water with cover on the bank."
SPECIES_REEF_FISH,Resif Balığı,Reef Fish
SPECIES_REEF_FISH_DESC,"Yeniden canlanmış ılık sığlıklar.","Warm shallows that have come back to life."
BIOME_NONE,Boş,Bare
BIOME_GRASS,Çayır,Grass
BIOME_SHRUB,Çalılık,Shrub
BIOME_WETLAND,Sulak Alan,Wetland
BIOME_FOREST,Orman,Forest
BIOME_MANGROVE,Mangrov,Mangrove
BIOME_BEACH,Kumsal,Beach
BIOME_REEF,Resif,Reef
TERRAIN_WASTELAND,Çorak Toprak,Wasteland
TERRAIN_ROCK,Kayalık,Rock
TERRAIN_CLIFF,Yamaç,Cliff
TERRAIN_SAND,Kum,Sand
TERRAIN_RIVERBED,Kuru Yatak,Riverbed
TERRAIN_WATER,Tatlı Su,Water
TERRAIN_OCEAN,Deniz,Ocean
UI_LEAVES,Yaprak,Leaves
UI_WILDLIFE,Yaban Hayatı,Wildlife
UI_LAUNCH,Havalan,Launch
UI_CANNOT_BUILD,Buraya inşa edilemez.,Cannot build there.
UI_CONFIRM,Yerleştir,Place
UI_CANCEL,Vazgeç,Cancel
UI_SETTLED,{0} yerleşti.,{0} has settled.
OBJ_RESTORE,Toprağı canlandır  —  %{0} / %{1},Bring the land back to life  —  {0}% / {1}%
OBJ_CULTIVATE,Farklı biyomlar kur  —  {0} / {1},Establish distinct biomes  —  {0} / {1}
OBJ_WILDLIFE,Adayı yaşanabilir kıl  —  {0} / {1} tür yerleşti,Make the island liveable  —  {0} / {1} species settled
OBJ_RECLAIM,Her yapıyı geri topla  —  {0} kaldı,Reclaim every structure  —  {0} remaining
OBJ_BOARD,Hava gemisine bin ve ayrıl.,Board the airship and leave.
OBJ_DONE,Geriye hiçbir iz kalmadı.,Nothing left behind.
OBJ_SUMMARY,"%{0} canlandı · {1} tür · geriye hiçbir iz kalmadı.","{0}% restored · {1} species · nothing left behind."
PABLO_WAITING,Pablo bekliyor.,Pablo is waiting.
PABLO_CURIOUS,Pablo etrafa bakınıyor.,Pablo is looking around.
PABLO_HAPPY,Pablo burada mutlu.,Pablo is happy here.
PABLO_HOME,Pablo evinde.,Pablo is home.
REQ_TEMP_MIN,en az {0}°C,at least {0}°C
REQ_TEMP_MAX,en fazla {0}°C,at most {0}°C
REQ_SOLITUDE,yakınında makine olmamalı,no machinery nearby
REQ_COMPANION,{0} önceden yerleşmiş olmalı,{0} already settled
LEVEL_HOME,Yuva,Home
LEVEL_HOME_BRIEF,"Pablo'nun adası. Ilıman, cömert, her şeyin başladığı yer.","Pablo's island. Temperate, generous, where all of this started."
LEVEL_DELTA,Sıcak Delta,The Warm Delta
LEVEL_DELTA_BRIEF,"Sıcak ve bol sulu. Burada zorluk kıtlık değil, ölçüyü tutmak.","Hot and awash with water. The difficulty here is restraint, not scarcity."
LEVEL_HIGHLAND,Soğuk Yayla,The Cold Highland
LEVEL_HIGHLAND_BRIEF,"Taşlık ve dört derece. Isıyı da toprağı da kendin kuracaksın.","Stony, and four degrees. Here you build the warmth as well as the soil."
